company_name,company_description,industry,size,region
Medlytics_044,"Clinical trial analytics and regulatory compliance. Used by 50 pharmaceutical companies. Works with LabWare, AWS, and Azure. Automated lab workflows and predictive modeling. Works with Google Maps API, Plaid.",pharma,enterprise,CIS
LegalEye_045,"Edge-device monitoring and factory automation. Predictive maintenance and quality control. Integrates with Siemens, Rockwell, and cloud platforms. Works with Workday, BambooHR.",manufacturing,SMB,CIS
Maxis_046,"Works with Splunk, AWS, and Azure Security. Behavioral authentication and anomaly monitoring. AI-driven threat detection and incident response.",cybersecurity,enterprise,Global
Petronas_047,"AI-powered talent acquisition and resume screening platform. Employee performance tracking and predictive attrition modeling. Workforce planning and automated HR analytics dashboards. Integrates with Workday, SAP SuccessFactors, and BambooHR. Works with AWS, Rockwell.",hrm,SMB,Global
Uthao_048,"Integrates with Epic, Cerner, and cloud EMR systems. Provides MLOps and clinical analytics. Focus on HIPAA-compliant data pipelines. Cloud-native analytics for hospitals.",healthcare,startup,APAC
BRACK_049,Real-time transaction monitoring using ML. Processes $50M/month in transactions. Integrates with banking APIs. Works with Stripe.,fintech,enterprise,LATAM
Petronas_050,Used by 500+ e-commerce stores. Real-time inventory forecasting. Personalization and recommendations. Customer analytics across channels. Integrates with PayPal.,retail,startup,NA
Medlytics_051,Industrial IoT analytics for predictive maintenance. Used by 100 factories worldwide. Edge-device data aggregation. Integrates with Rockwell.,iot,enterprise,EMEA
IoTAnalytics_052,"Used by 50 universities. Student performance modeling using AI. Integrates with Canvas and Moodle LMS. Integrates with LabWare, Siemens.",edtech,SMB,EMEA
EnergyGrid_053,Integrates with document management systems. Works with Salesforce and SharePoint. Automates e-discovery and compliance checks. AI-powered document review and contract analysis. Used by 100+ law firms.,legal,SMB,LATAM
Maxis_054,"Used by national utilities. Outage prediction and distributed resource optimization. Integrates sensor data for predictive maintenance. Works with Moodle LMS, AWS, Stripe.",energy,startup,LATAM
Maxis_055,Smart city traffic optimization and congestion prediction. Integrates with Google Maps API and AWS IoT. AI-powered route planning for fleets. Works with Epic.,transportation,SMB,Global
Boogle_056,"Clinical trial analytics and regulatory compliance. Automated lab workflows and predictive modeling. Works with LabWare, AWS, and Azure. Used by 50 pharmaceutical companies. Drug discovery and molecular analysis using AI. Works with Siemens.",pharma,enterprise,EMEA
Petronas_057,"Integrates with Siemens, Rockwell, and cloud platforms. Predictive maintenance and quality control. AI-powered production optimization. Edge-device monitoring and factory automation.",manufacturing,startup,Global
Grab_058,"Works with Splunk, AWS, and Azure Security. AI-driven threat detection and incident response. Behavioral authentication and anomaly monitoring. Used by 150+ enterprises for cybersecurity. Integrates with SIEM and cloud security tools.",cybersecurity,startup,Global
Retailio_059,"Resume parsing and automated interview scheduling Integrates with Workday, SAP SuccessFactors, and BambooHR. Workforce planning and automated HR analytics dashboards. AI-powered talent acquisition and resume screening platform. Predictive attrition analytics for enterprises Integrates with SharePoint, Epic, Firebase.",hrm,enterprise,APAC
Retailio_060,Focus on HIPAA-compliant data pipelines. Cloud-native analytics for hospitals. Provides MLOps and clinical analytics. Used by 200 hospitals for patient data management.,healthcare,SMB,LATAM
IoTAnalytics_061,"Integrates with banking APIs. Fraud detection and risk scoring for payments. Real-time transaction monitoring using ML. Processes $50M/month in transactions. Works with Plaid, Stripe, and PayPal.",fintech,enterprise,LATAM
IoTAnalytics_062,"Used by 500+ e-commerce stores. Personalization and recommendations. Real-time inventory forecasting. Integrates with Stripe, Siemens.",retail,startup,NA
Maxis_063,"Works with Azure IoT, AWS IoT Core. Edge-device data aggregation. Sensor anomaly detection and fleet monitoring. Used by 100 factories worldwide. Industrial IoT analytics for predictive maintenance. Works with AWS IoT Core.",iot,enterprise,APAC
TelekomMalaysia_064,Adaptive learning platform for K-12 and higher ed. Used by 50 universities. Student performance modeling using AI. Automated feedback generation. Integrates with Canvas and Moodle LMS.,edtech,startup,CIS
FinSight_065,"AI-powered document review and contract analysis. Used by 100+ law firms. Integrates with document management systems. Integrates with Workday, Canvas.",legal,SMB,APAC
EnergyGrid_066,"Integrates sensor data for predictive maintenance. Outage prediction and distributed resource optimization. Energy grid intelligence for load forecasting. Works with SCADA and AWS IoT. Used by national utilities. Integrates with Rockwell, Cerner, Plaid.",energy,enterprise,Global
Grab_067,Smart city traffic optimization and congestion prediction. Public transit analytics using real-time data. Used by city municipalities. Integrates with Google Maps API and AWS IoT. AI-powered route planning for fleets.,transportation,enterprise,LATAM
Medlytics_068,"Clinical trial analytics and regulatory compliance. Used by 50 pharmaceutical companies. Works with LabWare, AWS, and Azure. Automated lab workflows and predictive modeling. Drug discovery and molecular analysis using AI.",pharma,SMB,LATAM
Petronas_069,"AI-powrred production optimization. Used by 100 factories worldwide. Edge-device monitoring and factory automation. Predictive maintenance and quality control. Integrates with Siemens, Rockwell, and cloud platforms. Integrates with Moodle LMS.",manufacturing,enterprise,CIS
LegalEye_070,"Integrates with SIEM and cloud security tools. Used by 150+ enterprises for cybersecurity. AI-driven threat detection and incident response. Works with Google Maps API, Firebase.",cybersecurity,SMB,CIS
ShopSense_071,"Employee engagement dashboards and AI-driven feedback Integrates with Workday, SAP SuccessFactors, and BambooHR. Resume parsing and automated interview scheduling Used by 100+ companies for recruitment and retention. Integrates with Stripe, LabWare, PayPal.",hrm,SMB,Global
Medlytics_072,"Integrates with Epic, Cerner, and cloud EMR systems. Cloud-native analytics for hospitals. Provides MLOps and clinical analytics. Focus on HIPAA-compliant data pipelines. Works with Epic.",healthcare,SMB,APAC
EnergyGrid_073,"Integrates with banking APIs. Processes $50M/month in transactions. Real-time transaction monitoring using ML. Works with Plaid, Stripe, and PayPal. Works with AWS.",fintech,SMB,EMEA
Maxis_074,"Customer analytics across channels. Integrates with Shopify, Magento, and AWS. Used by 500+ e-commerce stores. Real-time inventory forecasting. Integrates with BambooHR, Salesforce.",retail,startup,NA
Boogle_075,"Sensor anomaly detection and fleet monitoring. Works with Azure IoT, AWS IoT Core. Edge-device data aggregation.",iot,SMB,Global
Megasoft_076,"Adaptive learning platform for K-12 and higher ed. Used by 50 universities. Automated feedback generation. Works with Plaid, Firebase, LabWare.",edtech,enterprise,LATAM
IoTAnalytics_077,"Integrates with document management systems. Automates e-discovery and compliance checks. Used by 100+ law firms. AI-powered document review and contract analysis. Integrates with SAP SuccessFactors, Google Maps API.",legal,SMB,LATAM
IoTAnalytics_078,Used by national utilities. Energy grid intelligence for load forecasting. Works with SCADA and AWS IoT. Outage prediction and distributed resource optimization. Integrates sensor data for predictive maintenance.,energy,enterprise,APAC
HealthAI_079,Integrates with Google Maps API and AWS IoT. Public transit analytics using real-time data. AI-powered route planning for fleets. Used by city municipalities. Smart city traffic optimization and congestion prediction. Integrates with LabWare.,transportation,enterprise,LATAM
Maxis_080,"Automated lab workflows and predictive modeling. Clinical trial analytics and regulatory compliance. Works with LabWare, AWS, and Azure. Works with Rockwell, Google Maps API, Stripe.",pharma,SMB,APAC
Grab_081,"Edge-device monitoring and factory automation. Integrates with Siemens, Rockwell, and cloud platforms. AI-powered production optimization. Predictive maintenance and quality control. Works with Siemens, BambooHR, SharePoint.",manufacturing,enterprise,EMEA
FinSight_082,"Integrates with SIEM and cloud security tools. Behavioral authentication and anomaly monitoring. Works with Splunk, AWS, and Azure Security. AI-driven threat detection and incident response. Used by 150+ enterprises for cybersecurity.",cybersecurity,enterprise,APAC
Uthao_083,"AI-powered talent acquisition and resume screening platform. Integrates with Workday, SAP SuccessFactors, and BambooHR. Employee performance tracking and predictive attrition modeling. Integrates with AWS IoT Core, Epic.",hrm,startup,APAC
Uthao_084,Provides MLOps and clinical analytics. Focus on HIPAA-compliant data pipelines. Used by 200 hospitals for patient data management.,healthcare,SMB,NA
IoTAnalytics_085,"Integrates with banking APIs. Real-time transaction monitoring using ML. Fraud detection and risk scoring for payments. Processes $50M/month in transactions. Works with Plaid, Azure IoT, AWS IoT Core.",fintech,startup,APAC
PayCheckAI_086,Customer analytics across channels. Personalization and recommendations. Used by 500+ e-commerce stores. Works with SAP SuccessFactors.,retail,SMB,APAC
Medlytics_087,"Edge-device data aggregation. Industrial IoT analytics for predictive maintenance. Sensor anomaly detection and fleet monitoring. Used by 100 factories worldwide. Works with Azure IoT, AWS IoT Core. Integrates with Moodle LMS, Azure IoT, Magento.",iot,enterprise,APAC
ShopSense_088,"Adaptive learning platform for K-12 and higher ed. Integrates with Canvas and Moodle LMS. Used by 50 universities. Integrates with AWS, SCADA, Stripe.",edtech,SMB,Global
IoTAnalytics_089,"Integrates with document management systems. AI-powered document review and contract analysis. Works with Salesforce and SharePoint. Automates e-discovery and compliance checks. Used by 100+ law firms. Works with Shopify, SCADA, AWS IoT Core.",legal,SMB,APAC
Megasoft_090,"Used by national utilities. Works with SCADA and AWS IoT. Outage prediction and distributed resource optimization. Works with Epic, Workday, Stripe.",energy,SMB,Global
ShopSense_091,Used by city municipalities. Smart city traffic optimization and congestion prediction. Public transit analytics using real-time data. Integrates with Plaid.,transportation,SMB,NA
Medlytics_092,Drug discovery and molecular analysis using AI. Automated lab workflows and predictive modeling. Clinical trial analytics and regulatory compliance.,pharma,enterprise,APAC
HealthAI_093,"AI-powered production optimization. Integrates with Siemens, Rockwell, and cloud platforms. Predictive maintenance and quality control. Used by 100 factories worldwide. Edge-device monitoring and factory automation. Integrates with SAP SuccessFactors, Workday.",manufacturing,startup,CIS
LegalEye_094,"Used by 150+ enterprises for cybersecurity. Integrates with SIEM and cloud security tools. Behavioral authentication and anomaly monitoring. Works with Splunk, AWS, and Azure Security. Works with SAP SuccessFactors, Plaid.",cybersecurity,enterprise,EMEA
ShopSense_095,"Resume parsing and automated interview scheduling Workforce planning and automated HR analytics dashboards. Predictive attrition analytics for enterprises AI-powered talent acquisition and resume screening platform. Integrates with Workday, SAP SuccessFactors, and BambooHR.",hrm,SMB,Global
Uthao_096,"Provides MLOps and clinical analytics. Focus on HIPAA-compliant data pipelines. Integrates with Epic, Cerner, and cloud EMR systems. Integrates with SAP SuccessFactors, Firebase, Shopify.",healthcare,SMB,LATAM
LearnSmart_097,"Frqud detection and risk scoring for payments. Processes $50M/month in transactions. Real-time transaction monitoring using ML. Works with Plaid, Stripe, and PayPal. Integrates with banking APIs. Works with Moodle LMS, SAP SuccessFactors.",fintech,enterprise,APAC
Boogle_098,"Integrqtes with Shopify, Magento, and AWS. Personalization and recommendations. Real-time inventory forecasting.",retail,startup,CIS
LearnSmart_099,"Works with Azure IoT, AWS IoT Core. Sensor anomaly detection and fleet monitoring. Used by 100 factories worldwide. Works with Moodle LMS.",iot,enterprise,NA
PayCheckAI_100,Used by 50 universities. Student performance modeling using AI. Adaptive learning platform for K-12 and higher ed. Works with Moodle LMS.,edtech,SMB,NA
FinSight_101,"AI-powered document review and contract analysis. Works with Salesforce and SharePoint. Integrates with document management systems. Automates e-discovery and compliance checks. Integrates with AWS, Firebase.",legal,SMB,EMEA
Boogle_102,"Integrates sensor data for predictive maintenance. Used by national utilities. Works with SCADA and AWS IoT. Outage prediction and distributed resource optimization. Energy grid intelligence for load forecasting. Integrates with Stripe, AWS.",energy,enterprise,APAC
Megasoft_103,Integrates with Google Maps API and AWS IoT. Smart city traffic optimization and congestion prediction. AI-powered route planning for fleets. Public transit analytics using real-time data. Used by city municipalities. Integrates with Stripe.,transportation,startup,APAC
Uthao_104,"Drug discovery and molecular analysis using AI. Automated lab workflows and predictive modeling. Clinical trial analytics and regulatory compliance. Integrates with Shopify, cloud EMR systems, Workday.",pharma,startup,EMEA
FinSight_105,"Used by 100 factories worldwide. Integrates with Siemens, Rockwell, and cloud platforms. AI-powered production optimization. Works with Moodle LMS.",manufacturing,startup,APAC
BRACK_106,"Used by 150+ enterprises for cybersecurity. Integrates with SIEM and cloud security tools. Works with Splunk, AWS, and Azure Security. AI-driven threat detection and incident response. Behavioral authentication and anomaly monitoring. Integrates with BambooHR.",cybersecurity,SMB,NA
Maxis_107,"Employee performance tracking and predictive attrition modeling. Integrates with Workday, SAP SuccessFactors, and BambooHR. Workforce planning and automated HR analytics dashboards. Used by 100+ companies for recruitment and retention. Predictive attrition analytics for enterprises Works with Plaid, Salesforce, Workday.",hrm,enterprise,EMEA
BRACK_108,"Integrates with Epic, Cerner, and cloud EMR systems. Used by 200 hospitals for patient data management. Cloud-native analytics for hospitals. Focus on HIPAA-compliant data pipelines. Provides MLOps and clinical analytics. Works with Plaid, Shopify, Siemens.",healthcare,SMB,Global
HealthAI_109,"Works with Plaid, Stripe, and PayPal. Real-time transaction monitoring using ML. Processes $50M/month in transactions. Fraud detection and risk scoring for payments. Integrates with banking APIs.",fintech,SMB,Global
LegalEye_110,"Customer analytics across channels. Used by 500+ e-commerce stores. Personalization and recommendations. Integrates with Shopify, Magento, and AWS. Integrates with LabWare, AWS IoT Core, Magento.",retail,startup,NA
FinSight_111,"Used by 100 factories worldwide. Sensor anomaly detection and fleet monitoring. Industrial IoT analytics for predictive maintenance. Edge-device data aggregation. Works with Cerner, SharePoint.",iot,startup,CIS
Megasoft_112,"Automated feedback generation. Used by 50 universities. Adaptive learning platform for K-12 and higher ed. Works with Google Maps API, Siemens.",edtech,enterprise,APAC
LearnSmart_113,Integrqtes with document management systems. Used by 100+ law firms. AI-powered document review and contract analysis. Automates e-discovery and compliance checks.,legal,enterprise,CIS
ShopSense_114,Energy grid intelligence for load forecasting. Integrates sensor data for predictive maintenance. Outage prediction and distributed resource optimization. Used by national utilities. Works with AWS IoT Core.,energy,SMB,APAC
ShopSense_115,AI-powered route planning for fleets. Smart city traffic optimization and congestion prediction. Public transit analytics using real-time data. Works with AWS IoT Core.,transportation,SMB,EMEA
Boogle_116,"Automated lab workflows and predictive modeling. Drug discovery and molecular analysis using AI. Works with LabWare, AWS, and Azure. Clinical trial analytics and regulatory compliance. Used by 50 pharmaceutical companies. Works with cloud EMR systems, Workday, Magento.",pharma,SMB,LATAM
ShopSense_117,"Integrates with Siemens, Rockwell, and cloud platforms. Predictive maintenance and quality control. Used by 100 factories worldwide. Edge-device monitoring and factory automation. Integrates with Shopify.",manufacturing,startup,APAC
HealthAI_118,"Works with Splunk, AWS, and Azure Security. Integrates with SIEM and cloud security tools. AI-driven threat detection and incident response.",cybersecurity,enterprise,EMEA
FinSight_119,Predictive attrition analytics for enterprises Employee engagement dashboards and AI-driven feedback Resume parsing and automated interview scheduling AI-powered talent acquisition and resume screening platform.,hrm,startup,Global
PayCheckAI_120,"Provides MLOps and clinical analytics. Integrates with Epic, Cerner, and cloud EMR systems. Cloud-native analytics for hospitals. Focus on HIPAA-compliant data pipelines.",healthcare,SMB,EMEA
FinSight_121,"Pricesses $50M/month in transactions. Integrates with banking APIs. Works with Plaid, Stripe, and PayPal. Real-time transaction monitoring using ML.",fintech,startup,EMEA
Grab_122,"Personalization and recommendations. Integrates with Shopify, Magento, and AWS. Used by 500+ e-commerce stores. Customer analytics across channels. Real-time inventory forecasting. Integrates with Canvas, AWS IoT Core, Moodle LMS.",retail,enterprise,NA
BRACK_123,"Sensor anomaly detection and fleet monitoring. Works with Azure IoT, AWS IoT Core. Edge-device data aggregation. Used by 100 factories worldwide. Industrial IoT analytics for predictive maintenance.",iot,enterprise,Global
LegalEye_124,Integrates with Canvas and Moodle LMS. Automated feedback generation. Student performance modeling using AI. Adaptive learning platform for K-12 and higher ed. Used by 50 universities.,edtech,enterprise,CIS
ShopSense_125,"Used by 100+ law firms. Works with Salesforce and SharePoint. Integrates with document management systems. Automates e-discovery and compliance checks. AI-powered document review and contract analysis. Integrates with LabWare, AWS, Azure IoT.",legal,startup,CIS
FinSight_126,Used by national utilities. Integrates sensor data for predictive maintenance. Energy grid intelligence for load forecasting. Outage prediction and distributed resource optimization.,energy,startup,LATAM
LegalEye_127,"Smart city traffic optimization and congestion prediction. AI-powered route planning for fleets. Integrates with Google Maps API and AWS IoT. Integrates with Azure IoT, Siemens.",transportation,startup,EMEA
Retailio_128,"Drug discovery and molecular analysis using AI. Works with LabWare, AWS, and Azure. Used by 50 pharmaceutical companies. Automated lab workflows and predictive modeling.",pharma,enterprise,Global
Megasoft_129,"Integrates with Siemens, Rockwell, and cloud platforms. Edge-device monitoring and factory automation. AI-powered production optimization. Used by 100 factories worldwide. Predictive maintenance and quality control.",manufacturing,startup,EMEA
LegalEye_130,"Works with Splunk, AWS, and Azure Security. AI-driven threat detection and incident response. Integrates with SIEM and cloud security tools. Works with Azure IoT, Firebase, Canvas.",cybersecurity,startup,Global
Maxis_131,Resume parsing and automated interview scheduling Employee performance tracking and predictive attrition modeling. Predictive attrition analytics for enterprises Employee engagement dashboards and AI-driven feedback,hrm,enterprise,LATAM
TelekomMalaysia_132,"Cloud-nqtive analytics for hospitals. Focus on HIPAA-compliant data pipelines. Used by 200 hospitals for patient data management. Provides MLOps and clinical analytics. Integrates with Epic, Cerner, and cloud EMR systems. Works with Firebase, Workday, AWS.",healthcare,SMB,APAC
Uthao_133,"Fraud detection and risk scoring for payments. Real-time transaction monitoring using ML. Works with Plaid, Stripe, and PayPal. Works with Firebase, BambooHR.",fintech,startup,NA
FinSight_134,"Personalization and recommendations. Customer analytics across channels. Real-time inventory forecasting. Integrates with Siemens, LabWare.",retail,enterprise,APAC
Uthao_135,Sensor anomaly detection and fleet monitoring. Used by 100 factories worldwide. Industrial IoT analytics for predictive maintenance. Integrates with Epic.,iot,enterprise,EMEA
PayCheckAI_136,Adaptive learning platform for K-12 and higher ed. Student performance modeling using AI. Integrates with Canvas and Moodle LMS. Automated feedback generation. Used by 50 universities. Works with SharePoint.,edtech,startup,EMEA
FinSight_137,"Integrates with document management systems. Works with Salesforce and SharePoint. AI-powered document review and contract analysis. Used by 100+ law firms. Automates e-discovery and compliance checks. Works with Firebase, Plaid, cloud EMR systems.",legal,enterprise,EMEA
Maxis_138,Integrates sensor data for predictive maintenance. Used by national utilities. Energy grid intelligence for load forecasting. Works with SCADA and AWS IoT. Outage prediction and distributed resource optimization.,energy,enterprise,CIS
LearnSmart_139,"Used by city municipalities. Smart city traffic optimization and congestion prediction. Public transit analytics using real-time data. Integrates with Google Maps API and AWS IoT. AI-powered route planning for fleets. Works with AWS, LabWare.",transportation,SMB,APAC
Petronas_140,"Used by 50 pharmaceutical companies. Clinical trial analytics and regulatory compliance. Automated lab workflows and predictive modeling. Works with LabWare, AWS, and Azure. Works with Siemens, Stripe.",pharma,enterprise,Global
Boogle_141,Used by 100 factories worldwide. AI-powered production optimization. Predictive maintenance and quality control. Integrates with AWS.,manufacturing,SMB,APAC
Retailio_142,"Behavioral authentication and anomaly monitoring. Integrates with SIEM and cloud security tools. Works with Splunk, AWS, and Azure Security. AI-driven threat detection and incident response. Works with Firebase.",cybersecurity,startup,Global
Petronas_143,"Predictive attrition analytics for enterprises Integrates with Workday, SAP SuccessFactors, and BambooHR. Workforce planning and automated HR analytics dashboards. Employee engagement dashboards and AI-driven feedback Resume parsing and automated interview scheduling Integrates with BambooHR, Shopify, Cerner.",hrm,startup,APAC
TelekomMalaysia_144,"Used by 200 hispitals for patient data management. Provides MLOps and clinical analytics. Integrates with Epic, Cerner, and cloud EMR systems. Cloud-native analytics for hospitals. Focus on HIPAA-compliant data pipelines. Works with Canvas.",healthcare,enterprise,APAC
Boogle_145,"Real-time transaction monitoring using ML. Fraud detection and risk scoring for payments. Works with Plaid, Stripe, and PayPal. Integrates with Siemens, Google Maps API.",fintech,SMB,EMEA
PayCheckAI_146,"Real-time inventory forecasting. Used by 500+ e-commerce stores. Personalization and recommendations. Integrates with Shopify, Magento, and AWS. Works with Canvas, PayPal.",retail,startup,APAC
Retailio_147,"Sensor anomaly detection and fleet monitoring. Works with Azure IoT, AWS IoT Core. Industrial IoT analytics for predictive maintenance. Used by 100 factories worldwide. Edge-device data aggregation.",iot,enterprise,NA
BRACK_148,"Used by 50 universities. Adaptive learning platform for K-12 and higher ed. Integrates with Canvas and Moodle LMS. Student performance modeling using AI. Integrates with AWS IoT Core, Siemens, cloud EMR systems.",edtech,SMB,APAC
