company_size,industry,tech_stack_keywords,page_visits,intent_signal,historical_conversion_rate,converted
2028,Education,"AWS, SQL, Kotlin",62,0.89,0.72,1
2696,Health,"SQL, Java",37,0.86,0.23,1
1496,Education,"Java, Python, React",17,0.34,0.0,0
392,Health,"Java, NodeJS, AWS",22,0.1,0.67,0
4515,Finance,React,78,0.18,0.16,1
4475,Finance,"Kotlin, SQL, Java",32,0.37,0.96,1
3562,Education,"Java, SQL",14,0.96,0.6,1
2279,Health,"Python, AWS, NodeJS",20,0.27,0.85,1
3100,Health,"NodeJS, SQL, Java",22,0.93,0.81,1
201,Retail,"React, Python",30,0.18,0.56,0
4876,Tech,React,54,0.97,0.44,1
3105,Education,Java,33,0.29,0.5,1
4599,Tech,"Java, AWS, React",5,0.63,0.8,1
2455,Tech,Kotlin,18,0.07,0.64,0
3646,Education,"NodeJS, AWS",63,0.3,0.21,1
805,Health,Java,46,0.21,0.61,1
2732,Education,"Java, React",7,0.0,0.4,0
2774,Tech,AWS,29,0.16,0.06,0
1571,Health,"React, Python, AWS",57,0.59,0.38,1
2691,Finance,"Java, Python",47,0.39,0.23,1
3841,Education,"React, Kotlin",9,0.72,0.84,1
1029,Education,"Kotlin, Java, React",59,0.67,0.1,1
503,Health,"Java, SQL, Python",71,0.8,0.36,1
4494,Finance,Kotlin,71,0.87,0.7,1
871,Finance,React,43,0.82,0.9,1
4489,Health,Java,59,0.45,0.34,1
207,Retail,"Python, NodeJS, React",6,0.31,0.61,0
1485,Education,SQL,53,0.5,0.37,1
864,Education,Python,64,0.54,0.2,1
2791,Tech,"Kotlin, Java, SQL",91,0.31,0.33,1
564,Health,"NodeJS, Python, Java",4,0.54,0.64,0
4192,Tech,React,1,0.11,0.72,0
1758,Tech,Java,70,0.23,0.37,1
1679,Finance,"SQL, Java, React",31,0.75,0.15,1
3243,Education,"SQL, Kotlin, Java",65,0.18,0.14,1
4637,Tech,Python,69,0.14,0.81,1
1060,Finance,"Java, AWS",19,0.29,0.65,0
1723,Health,React,69,0.37,0.73,1
3315,Tech,"SQL, Python",69,0.33,0.49,1
3158,Education,Kotlin,49,0.37,0.46,1
2626,Tech,"SQL, NodeJS, Python",31,0.14,0.21,0
2730,Health,"Kotlin, Java, SQL",60,0.17,0.17,1
1598,Tech,"AWS, NodeJS",71,0.24,0.15,1
3061,Education,"Kotlin, SQL, NodeJS",79,0.4,0.99,1
2694,Finance,"NodeJS, React",55,0.34,0.82,1
4892,Education,SQL,77,0.79,0.63,1
3628,Finance,"Python, AWS, Java",76,0.53,0.21,1
1364,Retail,"Java, Python, React",83,0.58,0.34,1
1982,Education,AWS,77,0.56,0.35,1
1664,Education,Kotlin,91,0.4,0.48,1
1530,Health,"SQL, Java",38,0.98,0.42,1
2039,Tech,React,33,0.04,0.93,1
3303,Finance,"AWS, Python, Kotlin",6,0.22,0.72,0
2238,Finance,"React, Java, Kotlin",13,0.28,0.08,0
1307,Health,Python,77,0.88,0.36,1
4030,Health,NodeJS,77,0.92,0.13,1
2676,Tech,"React, Kotlin, NodeJS",20,0.85,0.28,1
1283,Tech,Java,100,0.42,0.96,1
710,Education,"React, AWS",37,0.91,0.71,1
4745,Retail,Kotlin,45,0.1,0.01,0
4414,Tech,AWS,73,0.65,0.33,1
3749,Health,"Python, Kotlin, AWS",81,0.94,0.44,1
4780,Tech,Python,99,0.75,0.6,1
664,Finance,"React, Python",59,0.28,0.5,1
1999,Retail,"Python, NodeJS, Java",52,0.72,0.07,1
3446,Education,"Python, React, Kotlin",18,0.29,0.52,0
3744,Finance,"AWS, Python",25,0.11,0.13,0
1496,Finance,"NodeJS, AWS, SQL",79,0.72,0.52,1
3305,Retail,"Python, Java, NodeJS",87,0.18,0.25,1
3764,Education,"NodeJS, AWS, Kotlin",1,0.11,0.14,0
1854,Health,"React, Kotlin",41,0.55,0.29,1
4660,Education,Python,18,0.62,0.1,0
1292,Tech,NodeJS,1,0.05,0.28,0
3582,Finance,React,39,0.0,0.87,1
3458,Tech,NodeJS,74,0.88,0.31,1
1637,Health,"Python, React",31,0.12,0.47,0
3697,Tech,"Kotlin, Java, NodeJS",71,0.58,0.52,1
3000,Education,SQL,38,0.95,0.18,1
3153,Tech,Java,8,0.51,0.44,0
699,Health,SQL,34,0.14,0.85,1
2161,Health,"AWS, Kotlin",73,0.39,0.08,1
4098,Health,Python,89,0.62,0.92,1
4738,Education,"SQL, NodeJS, Python",27,0.76,0.87,1
855,Health,"NodeJS, Java, React",41,0.61,0.86,1
3475,Finance,NodeJS,7,0.03,0.2,0
1708,Health,"NodeJS, AWS, Kotlin",32,0.14,0.48,0
2778,Tech,"NodeJS, Java",73,0.37,0.62,1
1734,Tech,"Java, NodeJS",81,0.71,0.1,1
4932,Tech,Java,99,0.58,0.56,1
3511,Education,"Python, Java, NodeJS",16,0.04,0.84,0
203,Tech,SQL,2,0.8,0.94,1
3256,Education,"Kotlin, Python, NodeJS",43,0.61,0.28,1
4219,Education,React,31,0.89,0.29,1
4497,Health,NodeJS,80,0.42,0.27,1
767,Finance,"Python, Kotlin",47,0.49,0.15,1
4390,Health,"AWS, Kotlin, React",33,0.41,0.43,1
2328,Health,"Kotlin, Python",85,0.72,0.78,1
2932,Education,NodeJS,17,0.75,0.71,1
198,Education,"Java, Kotlin",99,0.72,0.9,1
1931,Tech,"Python, SQL, NodeJS",54,0.29,0.36,1
3583,Tech,React,54,0.64,0.57,1
609,Health,"AWS, React, Python",51,0.34,0.77,1
3273,Retail,"Kotlin, Java, React",52,0.83,0.9,1
1148,Retail,SQL,7,0.06,0.87,0
4283,Tech,"SQL, Python",54,0.04,0.47,1
3398,Retail,React,93,0.1,0.91,1
2512,Tech,NodeJS,11,0.2,0.44,0
1795,Education,"NodeJS, AWS",62,0.04,0.9,1
660,Health,"NodeJS, AWS",30,0.07,0.78,1
2812,Finance,"NodeJS, Python, Java",82,0.31,0.22,1
1370,Health,"NodeJS, SQL, Kotlin",57,0.1,0.93,1
1987,Tech,"React, Python",46,0.8,0.24,1
147,Tech,"Kotlin, React, Java",80,0.05,0.91,1
3220,Health,NodeJS,70,0.91,0.62,1
2912,Tech,Kotlin,66,0.87,0.67,1
1735,Retail,"SQL, Java, AWS",55,0.21,0.11,1
1844,Retail,"Kotlin, SQL",58,0.07,0.07,0
489,Tech,"Python, AWS",10,0.11,0.97,0
2977,Tech,"Kotlin, Java, Python",4,0.56,0.34,0
1960,Retail,"Kotlin, Python",74,0.6,0.84,1
2386,Tech,Java,73,0.32,0.7,1
2920,Tech,SQL,62,0.3,0.6,1
4737,Health,"AWS, React, SQL",43,0.53,0.69,1
1803,Finance,"Python, SQL, Java",42,0.31,0.09,0
4062,Retail,"Kotlin, NodeJS, Python",24,0.93,0.41,1
3370,Health,NodeJS,5,0.38,0.61,0
263,Finance,"React, NodeJS",99,0.22,0.87,1
624,Tech,Kotlin,68,0.15,0.71,1
1017,Tech,"React, Kotlin, NodeJS",99,0.63,0.25,1
3644,Health,"Python, React",77,0.33,0.98,1
4977,Tech,"React, AWS, Java",96,0.19,0.64,1
2050,Education,Java,45,0.28,0.5,1
3724,Health,"Java, NodeJS",59,0.31,0.78,1
4549,Finance,Java,65,0.63,0.6,1
3109,Health,"Java, SQL",63,0.17,0.71,1
4091,Retail,"AWS, Python",75,0.73,0.62,1
2057,Health,"Java, NodeJS",90,0.3,0.18,1
3171,Tech,Java,67,0.49,0.54,1
1683,Tech,Kotlin,49,0.65,0.28,1
2256,Education,"NodeJS, Java, Kotlin",77,0.54,0.57,1
1155,Education,"Java, Kotlin",32,0.66,0.13,1
4500,Education,Java,50,0.32,0.23,1
3192,Finance,Python,87,0.96,0.81,1
1697,Education,React,58,0.46,0.41,1
3992,Finance,"Python, Java, NodeJS",52,0.32,0.67,1
4724,Education,"NodeJS, Kotlin, SQL",23,0.3,0.5,0
4683,Finance,"Python, Kotlin, NodeJS",30,0.04,0.34,0
1649,Health,"Kotlin, SQL, NodeJS",70,0.68,0.5,1
1446,Health,"Kotlin, NodeJS",71,0.26,0.81,1
4200,Tech,"React, Kotlin",30,0.96,0.28,1
3924,Finance,"Python, Kotlin",37,0.21,0.42,0
254,Retail,"Python, SQL",48,0.53,0.2,1
3184,Tech,"Kotlin, SQL, React",32,0.74,0.35,1
2558,Health,"Python, Java",70,0.87,0.89,1
99,Finance,"NodeJS, Python, Kotlin",35,0.16,0.79,1
2201,Education,SQL,96,0.99,0.37,1
2962,Retail,"AWS, Python, NodeJS",76,0.91,0.13,1
4974,Health,"SQL, React, Java",68,0.96,0.42,1
4434,Tech,React,32,0.85,0.77,1
3778,Finance,Java,59,0.88,0.04,1
2870,Retail,"NodeJS, Python",35,0.6,0.75,1
3235,Finance,AWS,16,0.85,0.68,1
3792,Education,"NodeJS, Python",79,0.53,0.06,1
957,Tech,"Kotlin, React",52,0.54,0.64,1
4068,Finance,NodeJS,66,0.56,0.3,1
161,Health,"NodeJS, Java, AWS",6,1.0,0.18,0
4494,Tech,"Kotlin, Python, NodeJS",14,0.1,0.38,0
1301,Health,"SQL, React, Java",29,0.81,0.21,1
4912,Finance,"Kotlin, NodeJS, SQL",26,0.27,0.82,1
3988,Tech,"NodeJS, Kotlin, Python",18,0.36,0.74,1
1528,Health,"Python, React",4,0.08,0.98,0
1219,Education,"Kotlin, Python",57,0.35,0.53,1
4497,Education,"NodeJS, Java",53,0.99,0.09,1
4736,Finance,"SQL, Kotlin",25,0.4,0.37,0
3105,Tech,SQL,47,0.67,0.84,1
2736,Retail,"Kotlin, Java, NodeJS",52,0.12,0.4,1
4556,Tech,AWS,93,0.92,0.46,1
955,Education,"NodeJS, SQL, React",34,0.83,0.41,1
4566,Health,SQL,16,0.39,0.24,0
3447,Retail,"Java, SQL",94,0.35,0.07,1
1046,Finance,"Java, Python",87,0.43,0.18,1
1694,Retail,Kotlin,36,0.4,0.36,1
3437,Finance,"Java, NodeJS",28,0.26,0.25,0
563,Retail,Python,65,0.99,0.57,1
2486,Finance,Python,72,0.81,0.61,1
3355,Finance,"AWS, NodeJS, React",53,0.27,0.57,1
226,Retail,"React, NodeJS",42,0.98,0.08,1
4894,Retail,"React, Python, Java",79,0.02,0.67,1
960,Finance,"Java, SQL",98,0.44,0.38,1
4549,Education,"AWS, Python, React",19,0.57,0.88,1
3068,Retail,"SQL, NodeJS",44,0.04,0.53,1
816,Tech,"Python, Java",30,0.16,0.08,0
4755,Health,"SQL, AWS, React",74,0.26,0.01,1
4643,Finance,"Python, AWS, SQL",44,0.72,0.7,1
3121,Finance,"SQL, Python, Java",27,0.94,0.4,1
17,Health,"AWS, NodeJS",84,0.62,0.29,1
1244,Education,"Kotlin, NodeJS, Java",89,0.56,0.45,1
2206,Health,"AWS, Java, Kotlin",73,0.54,0.07,1
2525,Retail,"SQL, NodeJS, Python",34,0.35,0.39,1
1070,Health,"NodeJS, Python",85,0.83,0.31,1
3445,Finance,React,24,0.54,0.8,1
2566,Health,"Kotlin, NodeJS",56,0.23,0.17,1
1061,Tech,Kotlin,7,0.14,0.76,0
2328,Retail,"Kotlin, SQL",68,0.99,0.5,1
3421,Health,"Kotlin, AWS",51,0.02,0.08,0
302,Finance,"SQL, NodeJS, Kotlin",8,0.93,0.97,1
4277,Retail,SQL,56,0.22,0.73,1
607,Finance,React,77,0.66,0.26,1
3171,Education,"AWS, NodeJS",58,0.3,0.58,1
700,Tech,React,85,0.86,0.9,1
1140,Education,React,99,0.54,0.93,1
191,Tech,"NodeJS, React",69,0.14,0.73,1
2301,Health,"NodeJS, React, Java",8,0.27,0.73,0
981,Retail,"React, Java",66,0.32,0.28,1
2976,Health,Kotlin,24,0.89,0.99,1
1185,Tech,"Java, AWS",42,0.77,0.24,1
3328,Tech,AWS,54,0.83,0.09,1
3395,Tech,NodeJS,16,0.05,0.98,0
128,Finance,"Kotlin, AWS, SQL",4,0.58,0.15,0
2066,Retail,SQL,59,1.0,0.52,1
1817,Health,"SQL, React",94,0.79,0.47,1
570,Health,"Python, Kotlin, SQL",46,0.12,0.85,1
1896,Education,"Python, NodeJS, Kotlin",94,0.68,0.4,1
2734,Tech,"AWS, React, Python",99,0.75,0.5,1
3864,Tech,"Java, React, AWS",13,0.51,0.04,0
4722,Tech,SQL,37,0.08,0.21,0
4015,Health,"React, Kotlin",54,0.03,0.83,1
2902,Education,"AWS, React, SQL",49,0.94,0.48,1
1687,Finance,AWS,75,0.26,0.23,1
3010,Retail,"AWS, Kotlin, React",58,0.38,0.37,1
155,Finance,Python,19,0.8,0.29,1
2538,Health,Kotlin,18,0.69,0.56,1
1410,Tech,"Python, React, Java",60,0.97,0.05,1
4058,Retail,"React, Java",17,0.09,0.22,0
785,Health,"React, Kotlin, SQL",11,0.71,0.35,0
3176,Health,"Kotlin, Python, NodeJS",15,0.08,0.93,0
4342,Health,"NodeJS, Java",72,0.0,0.62,1
2807,Retail,Python,93,0.12,0.5,1
538,Retail,"AWS, NodeJS",17,0.62,0.19,0
1842,Education,Kotlin,90,0.68,0.56,1
2456,Education,"NodeJS, AWS",5,0.44,0.93,1
525,Finance,"React, Java, SQL",61,0.05,0.57,1
2951,Retail,"SQL, Kotlin",4,0.63,0.16,0
4132,Retail,Java,56,0.09,1.0,1
4781,Retail,Kotlin,88,0.14,0.5,1
4116,Education,"AWS, Java, Python",75,0.51,0.32,1
2369,Health,"NodeJS, React, AWS",94,0.34,0.5,1
3848,Tech,"NodeJS, AWS, SQL",48,0.46,0.26,1
4496,Education,"Kotlin, Java, NodeJS",48,0.64,0.03,1
2702,Retail,"Python, NodeJS, Kotlin",35,0.16,0.89,1
972,Education,NodeJS,33,0.89,0.43,1
1167,Finance,Python,100,0.56,0.75,1
4930,Retail,Kotlin,21,0.02,0.97,1
2775,Finance,Python,5,0.63,0.63,0
1983,Retail,"React, SQL, Java",64,0.46,0.69,1
854,Education,"Kotlin, AWS",69,0.7,0.94,1
4147,Health,"SQL, React, Python",21,0.78,0.52,1
3737,Tech,"NodeJS, React",89,0.94,0.32,1
3770,Finance,"Python, Java",74,1.0,0.92,1
575,Education,React,83,0.55,0.07,1
3262,Health,"Java, Python, SQL",32,0.56,0.21,1
1149,Education,"Python, NodeJS",18,0.02,0.34,0
1716,Finance,"NodeJS, SQL",58,0.87,0.78,1
4778,Tech,"AWS, Kotlin, React",98,0.03,0.9,1
4934,Education,"Kotlin, NodeJS",79,0.63,0.45,1
3855,Retail,"SQL, Java",24,0.1,0.29,0
2492,Health,"SQL, NodeJS",5,0.29,0.35,0
2661,Education,AWS,53,0.14,0.66,1
3125,Health,SQL,96,0.14,0.16,1
3052,Retail,"SQL, React",73,0.07,0.55,1
5,Tech,"AWS, Java",55,0.32,0.59,1
4870,Tech,"Python, AWS",5,0.42,0.71,0
877,Retail,Kotlin,69,0.46,0.6,1
992,Health,"React, Kotlin, AWS",41,0.44,0.1,0
4143,Education,"NodeJS, Java, Kotlin",98,0.52,0.69,1
4365,Retail,NodeJS,7,0.86,0.02,0
4466,Finance,"Python, AWS",90,0.63,0.39,1
636,Health,Java,1,0.02,0.42,0
1694,Tech,SQL,52,0.17,0.12,0
1683,Retail,"SQL, NodeJS",98,0.35,0.01,1
4753,Tech,Java,26,0.95,0.07,1
120,Health,"AWS, Java",96,0.08,0.45,1
831,Tech,"NodeJS, React, Python",63,0.71,0.24,1
3676,Retail,"SQL, React",12,0.03,0.07,0
1370,Health,"AWS, SQL, NodeJS",70,0.36,0.26,1
741,Finance,"NodeJS, Python, React",84,0.77,0.53,1
117,Retail,Java,19,0.34,0.74,1
2839,Education,"React, Python",80,0.43,0.41,1
1151,Retail,"React, SQL, Python",4,0.91,0.61,1
1932,Health,"AWS, NodeJS",96,0.07,0.6,1
1013,Retail,"SQL, NodeJS",82,0.53,0.9,1
1665,Finance,"React, NodeJS",5,0.37,0.18,0
1082,Finance,NodeJS,54,0.96,0.48,1
4730,Education,"AWS, Python",70,0.79,0.63,1
513,Tech,Java,57,0.12,0.52,1
2850,Health,"React, AWS",78,0.93,0.45,1
560,Health,React,52,0.21,0.97,1
3673,Tech,"SQL, Python",18,0.08,0.94,0
4584,Finance,Java,64,0.54,0.61,1
4993,Finance,AWS,10,0.74,0.44,0
3344,Retail,React,23,0.72,0.76,1
4071,Education,"React, Kotlin",82,0.53,0.51,1
4800,Education,"AWS, SQL, Java",68,0.49,1.0,1
1471,Education,Kotlin,52,0.97,0.69,1
581,Retail,"NodeJS, SQL",96,0.82,0.07,1
2295,Education,"Python, NodeJS, Kotlin",47,0.7,0.4,1
3148,Tech,"SQL, Java, React",70,0.2,0.73,1
4250,Retail,"Java, Python, Kotlin",26,0.82,0.84,1
1680,Tech,React,70,0.75,0.81,1
3507,Retail,Python,99,0.99,0.98,1
2745,Education,"Python, AWS, Java",43,0.13,0.49,1
3357,Tech,Java,69,0.72,0.14,1
4046,Tech,"SQL, AWS, Java",63,0.98,0.65,1
1244,Tech,"Java, Python, Kotlin",78,0.46,0.07,1
3119,Retail,"AWS, SQL",66,0.73,0.97,1
2142,Health,"AWS, SQL, Kotlin",63,0.98,0.76,1
3060,Education,SQL,13,0.55,0.98,1
4549,Tech,"AWS, Java",51,0.7,0.38,1
2960,Health,Kotlin,5,0.02,0.02,0
2266,Education,"Kotlin, NodeJS",47,0.52,0.52,1
2480,Education,SQL,36,0.26,0.12,0
4647,Tech,"Kotlin, SQL",36,0.13,0.68,1
1636,Tech,"Kotlin, Python, SQL",50,0.71,0.5,1
1758,Retail,Python,56,0.04,0.75,1
4453,Health,"NodeJS, SQL",19,0.9,0.29,1
2071,Health,"NodeJS, Kotlin",20,0.52,0.83,1
2850,Tech,"Python, SQL, Java",22,0.65,0.65,1
3252,Education,Kotlin,31,0.25,0.99,1
3731,Tech,"Java, SQL",62,0.18,0.18,1
2490,Education,"AWS, NodeJS",44,0.24,0.05,0
1632,Education,Java,68,0.23,0.85,1
2817,Tech,Kotlin,67,0.86,0.34,1
1016,Finance,"Python, Kotlin, React",89,0.79,0.43,1
1349,Health,"Java, Kotlin, React",49,0.85,0.93,1
4612,Education,NodeJS,59,0.73,0.44,1
3088,Education,React,4,0.64,0.3,0
2840,Finance,"SQL, AWS",39,0.53,0.06,0
336,Retail,AWS,7,0.27,0.44,0
4593,Finance,"NodeJS, React",71,0.71,0.65,1
896,Finance,SQL,49,0.14,0.27,0
3547,Education,"Python, SQL, NodeJS",89,0.51,0.72,1
852,Health,React,15,0.2,0.48,0
1688,Finance,AWS,7,0.5,0.86,1
1932,Retail,React,47,0.29,0.16,0
3747,Tech,"AWS, NodeJS",68,0.05,0.76,1
2428,Finance,"Java, AWS",98,0.5,0.93,1
1569,Finance,"Java, Kotlin",45,0.18,0.74,1
4001,Retail,AWS,19,0.16,0.41,0
2739,Health,Java,47,0.38,0.23,1
3499,Finance,"SQL, Kotlin",53,0.36,0.1,1
3914,Finance,"Kotlin, Java, NodeJS",27,0.87,0.64,1
1067,Health,Python,5,0.56,0.14,0
4381,Retail,"SQL, AWS",60,0.85,0.84,1
2445,Finance,"AWS, Python",77,0.15,0.96,1
4108,Health,"NodeJS, Java, SQL",62,0.36,0.14,1
3374,Finance,Python,59,0.56,0.38,1
3970,Tech,Kotlin,61,0.15,0.94,1
2547,Education,"React, Python",56,0.13,0.47,1
754,Tech,"NodeJS, SQL, Kotlin",78,0.66,0.54,1
2083,Finance,Python,94,0.65,0.75,1
2775,Retail,"SQL, React",47,0.23,0.21,0
2897,Education,"React, AWS, Java",48,0.23,0.98,1
4186,Tech,"Kotlin, Java",10,0.75,0.78,1
776,Health,NodeJS,32,0.12,0.16,0
1626,Retail,"Java, Python",65,0.92,0.11,1
3070,Tech,"Java, React",24,0.94,0.93,1
418,Health,"NodeJS, SQL",29,0.87,0.69,1
115,Finance,"React, Kotlin, Java",7,0.21,0.04,0
617,Health,"Python, NodeJS",95,0.02,0.14,1
3975,Tech,"Java, SQL, React",17,0.94,0.05,0
3268,Tech,"React, SQL",94,0.34,0.97,1
826,Finance,NodeJS,25,0.31,0.5,0
1517,Health,"Java, Kotlin",92,0.26,0.46,1
3147,Health,"React, AWS",36,0.24,0.96,1
413,Finance,"SQL, Java, AWS",61,0.73,0.5,1
729,Health,"Python, Kotlin, Java",71,0.91,0.52,1
3349,Finance,AWS,35,0.79,0.98,1
2809,Retail,SQL,84,0.67,0.11,1
676,Tech,Kotlin,78,0.29,0.99,1
3466,Retail,"React, SQL, Java",50,0.55,0.17,1
2505,Education,"Python, Java",56,0.24,0.47,1
2968,Education,"AWS, SQL",94,0.11,0.34,1
2787,Education,AWS,65,0.12,0.96,1
1123,Finance,Java,41,0.6,0.49,1
4080,Health,"AWS, NodeJS",25,0.04,0.02,0
1572,Retail,SQL,34,0.97,0.22,1
2144,Retail,SQL,8,1.0,0.43,1
1688,Retail,"AWS, React, NodeJS",56,0.15,0.68,1
4133,Retail,React,84,0.43,0.56,1
3852,Education,"AWS, SQL, NodeJS",30,0.77,0.85,1
3441,Retail,"NodeJS, SQL, React",68,0.96,0.83,1
3767,Health,"AWS, NodeJS",21,0.89,0.59,1
2327,Education,Kotlin,91,0.25,0.57,1
2915,Retail,"React, Python",10,0.09,0.28,0
4969,Finance,Python,87,0.29,0.96,1
3953,Tech,SQL,33,0.44,0.08,0
596,Tech,AWS,75,0.36,0.4,1
729,Tech,"Java, React, AWS",83,0.77,0.66,1
1366,Education,"Java, Python",75,0.26,0.95,1
4493,Retail,"React, AWS, Kotlin",4,0.86,0.5,1
699,Education,React,23,0.23,0.9,1
396,Health,"Python, AWS, React",69,0.36,0.1,1
4172,Finance,Java,53,0.45,0.53,1
4361,Finance,"Kotlin, React, SQL",5,0.29,0.32,0
2503,Tech,SQL,18,0.77,0.8,1
1820,Tech,Java,17,0.41,0.44,0
718,Tech,"Python, Java",58,0.89,0.48,1
2783,Retail,Java,67,0.96,0.06,1
4947,Health,NodeJS,72,0.86,0.44,1
3578,Health,"React, Python, Kotlin",56,0.52,0.08,1
144,Health,"Kotlin, Java",40,0.51,0.3,1
4981,Health,"SQL, AWS, React",87,0.22,0.13,1
3141,Tech,"SQL, Kotlin",87,0.59,0.33,1
4492,Finance,"Java, Kotlin",2,0.95,0.23,0
2939,Tech,"AWS, React, Python",21,0.08,0.29,0
3637,Health,"SQL, React, Kotlin",52,0.75,0.15,1
3223,Tech,"Python, Java",24,0.87,0.44,1
1168,Health,AWS,53,0.99,0.5,1
2617,Education,Kotlin,38,0.33,0.84,1
1063,Finance,Kotlin,20,0.36,0.54,0
2157,Education,"Java, Python, React",50,0.23,0.23,1
2983,Retail,React,39,0.79,0.74,1
3295,Tech,"SQL, Kotlin, NodeJS",60,0.14,0.3,1
4730,Retail,"NodeJS, Python",91,0.27,0.76,1
1157,Tech,"NodeJS, SQL",39,0.3,0.39,1
733,Education,SQL,71,0.37,0.51,1
4331,Health,"AWS, Kotlin, SQL",33,0.42,0.5,1
4847,Health,NodeJS,29,0.56,0.96,1
954,Tech,"React, Java, AWS",74,0.95,0.15,1
2540,Health,"React, NodeJS",10,0.25,0.94,0
3325,Education,"Python, AWS",76,0.78,0.56,1
